timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784172272919,28,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,24,0,17
1784172272952,4,GET Detalle de Evento,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,1382,129,1,1,http://localhost:5000/api/eventos/1,3,0,1
1784172272957,23,GET Mapa de Asientos,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,22025,138,1,1,http://localhost:5000/api/eventos/1/asientos,23,0,1
1784172272981,4,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,4,0,1
1784172272986,3,GET Detalle de Evento,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,1382,129,1,1,http://localhost:5000/api/eventos/1,3,0,1
1784172272990,23,GET Mapa de Asientos,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,22025,138,1,1,http://localhost:5000/api/eventos/1/asientos,22,0,1
1784172273014,3,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,3,0,1
1784172273018,3,GET Detalle de Evento,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,1382,129,1,1,http://localhost:5000/api/eventos/1,3,0,1
1784172273022,22,GET Mapa de Asientos,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,22025,138,1,1,http://localhost:5000/api/eventos/1/asientos,21,0,1
1784172273045,4,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,4,0,1
1784172273050,3,GET Detalle de Evento,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,1382,129,1,1,http://localhost:5000/api/eventos/1,3,0,1
1784172273054,22,GET Mapa de Asientos,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,22025,138,1,1,http://localhost:5000/api/eventos/1/asientos,22,0,1
1784172273077,4,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,4,0,1
1784172273082,3,GET Detalle de Evento,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,1382,129,1,1,http://localhost:5000/api/eventos/1,3,0,1
1784172273086,23,GET Mapa de Asientos,200,OK,Escenario 1 - 20 usuarios 1-1,text,true,,22025,138,1,1,http://localhost:5000/api/eventos/1/asientos,23,0,1
1784172273335,3,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,3,0,1
1784172273339,2,GET Detalle de Evento,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,1382,129,1,1,http://localhost:5000/api/eventos/1,2,0,1
1784172273342,25,GET Mapa de Asientos,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,22025,138,1,1,http://localhost:5000/api/eventos/1/asientos,25,0,1
1784172273369,4,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,3,0,1
1784172273373,4,GET Detalle de Evento,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,1382,129,1,1,http://localhost:5000/api/eventos/1,4,0,1
1784172273378,23,GET Mapa de Asientos,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,22025,138,1,1,http://localhost:5000/api/eventos/1/asientos,23,0,1
1784172273402,3,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,3,0,1
1784172273406,4,GET Detalle de Evento,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,1382,129,1,1,http://localhost:5000/api/eventos/1,3,0,1
1784172273410,22,GET Mapa de Asientos,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,22025,138,1,1,http://localhost:5000/api/eventos/1/asientos,22,0,1
1784172273433,3,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,3,0,1
1784172273437,3,GET Detalle de Evento,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,1382,129,1,1,http://localhost:5000/api/eventos/1,3,0,1
1784172273441,23,GET Mapa de Asientos,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,22025,138,1,1,http://localhost:5000/api/eventos/1/asientos,22,0,1
1784172273465,3,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,3,0,1
1784172273469,3,GET Detalle de Evento,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,1382,129,1,1,http://localhost:5000/api/eventos/1,3,0,1
1784172273473,23,GET Mapa de Asientos,200,OK,Escenario 1 - 20 usuarios 1-2,text,true,,22025,138,1,1,http://localhost:5000/api/eventos/1/asientos,23,0,1
1784172273834,3,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-3,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,3,0,1
1784172273838,4,GET Detalle de Evento,200,OK,Escenario 1 - 20 usuarios 1-3,text,true,,1382,129,1,1,http://localhost:5000/api/eventos/1,4,0,2
1784172273843,23,GET Mapa de Asientos,200,OK,Escenario 1 - 20 usuarios 1-3,text,true,,22025,138,1,1,http://localhost:5000/api/eventos/1/asientos,23,0,1
1784172273867,3,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-3,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,3,0,0
1784172273871,3,GET Detalle de Evento,200,OK,Escenario 1 - 20 usuarios 1-3,text,true,,1382,129,1,1,http://localhost:5000/api/eventos/1,3,0,1
1784172273875,21,GET Mapa de Asientos,200,OK,Escenario 1 - 20 usuarios 1-3,text,true,,22025,138,1,1,http://localhost:5000/api/eventos/1/asientos,21,0,1
1784172273897,4,GET Listar Eventos,200,OK,Escenario 1 - 20 usuarios 1-3,text,true,,5443,127,1,1,http://localhost:5000/api/eventos,3,0,1
